Education,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Since,Family_Size,Alone,Partner,Sum_Mnt,Num_Accepted_Cmp,Num_Total_Purchases,Income_Binned,Cluster,income_group,purchase_group
1,58138.0,0.0,0.0,2012-09-04,58.0,635.0,88.0,546.0,172.0,88.0,88.0,3.0,8.0,10.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,67.0,12.0,1.0,True,False,1617.0,1.0,22.0,Medium,2,40k-60k,21-25
1,46344.0,1.0,1.0,2014-03-08,38.0,11.0,1.0,6.0,2.0,1.0,6.0,2.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,10.0,3.0,True,False,27.0,0.0,4.0,Medium,2,40k-60k,0-5
1,71613.0,0.0,0.0,2013-08-21,26.0,426.0,49.0,127.0,111.0,21.0,42.0,1.0,8.0,2.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,11.0,2.0,False,True,776.0,0.0,20.0,High,1,60k-80k,16-20
1,26646.0,1.0,0.0,2014-02-10,26.0,11.0,4.0,20.0,10.0,3.0,5.0,2.0,2.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,3.0,False,True,53.0,0.0,6.0,Low,0,20k-40k,6-10
3,58293.0,1.0,0.0,2014-01-19,94.0,173.0,43.0,118.0,46.0,27.0,15.0,5.0,5.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,10.0,3.0,False,True,422.0,0.0,14.0,Medium,2,40k-60k,11-15
2,62513.0,0.0,1.0,2013-09-09,16.0,520.0,42.0,98.0,0.0,42.0,14.0,2.0,6.0,4.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,11.0,3.0,False,True,716.0,0.0,20.0,High,2,60k-80k,16-20
1,55635.0,0.0,1.0,2012-11-13,34.0,235.0,65.0,164.0,50.0,49.0,27.0,4.0,7.0,3.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,12.0,2.0,True,False,590.0,0.0,17.0,Medium,2,40k-60k,16-20
3,33454.0,1.0,0.0,2013-05-08,32.0,76.0,10.0,56.0,3.0,1.0,23.0,2.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,11.0,3.0,False,True,169.0,0.0,8.0,Low,0,20k-40k,6-10
3,30351.0,1.0,0.0,2013-06-06,19.0,14.0,0.0,24.0,3.0,3.0,2.0,1.0,3.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,11.0,3.0,False,True,46.0,1.0,5.0,Low,0,20k-40k,0-5
3,5648.0,1.0,1.0,2014-03-13,68.0,28.0,0.0,6.0,1.0,1.0,13.0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,10.0,4.0,False,True,49.0,1.0,1.0,Very Low,0,<20k,0-5
1,51381.5,1.0,0.0,2013-11-15,11.0,5.0,5.0,6.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,11.0,3.0,False,True,19.0,0.0,3.0,Medium,2,40k-60k,0-5
0,7500.0,0.0,0.0,2012-11-13,59.0,6.0,16.0,11.0,11.0,1.0,16.0,1.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,12.0,2.0,False,True,61.0,0.0,5.0,Very Low,0,<20k,0-5
1,63033.0,0.0,0.0,2013-11-15,82.0,194.0,61.0,480.0,225.0,112.0,30.0,1.0,3.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,11.0,1.0,True,False,1102.0,0.0,15.0,High,2,60k-80k,11-15
2,59354.0,1.0,1.0,2013-11-15,53.0,233.0,2.0,53.0,3.0,5.0,14.0,3.0,6.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,11.0,3.0,True,False,310.0,0.0,12.0,Medium,2,40k-60k,11-15
1,17323.0,0.0,0.0,2012-10-10,38.0,3.0,14.0,17.0,6.0,1.0,5.0,1.0,1.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,12.0,2.0,False,True,46.0,0.0,4.0,Very Low,0,<20k,0-5
3,82800.0,0.0,0.0,2012-11-24,23.0,1006.0,22.0,115.0,59.0,68.0,45.0,1.0,7.0,6.0,12.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,78.0,12.0,1.0,True,False,1315.0,3.0,25.0,Very High,1,80k-100k,21-25
1,41850.0,1.0,1.0,2012-12-24,51.0,53.0,5.0,19.0,2.0,13.0,4.0,3.0,3.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,12.0,4.0,False,True,96.0,0.0,6.0,Medium,2,40k-60k,6-10
1,37760.0,0.0,0.0,2012-08-31,20.0,84.0,5.0,38.0,150.0,12.0,28.0,2.0,4.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,12.0,2.0,False,True,317.0,0.0,11.0,Low,0,20k-40k,11-15
2,76995.0,0.0,1.0,2013-03-28,91.0,1012.0,80.0,498.0,0.0,16.0,176.0,2.0,11.0,4.0,9.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75.0,11.0,3.0,False,True,1782.0,1.0,24.0,High,1,60k-80k,21-25
2,33812.0,1.0,0.0,2012-11-03,86.0,4.0,17.0,19.0,30.0,24.0,39.0,2.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,12.0,2.0,True,False,133.0,0.0,6.0,Low,0,20k-40k,6-10
1,37040.0,0.0,0.0,2012-08-08,41.0,86.0,2.0,73.0,69.0,38.0,48.0,1.0,4.0,2.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,12.0,2.0,False,True,316.0,0.0,11.0,Low,0,20k-40k,11-15
1,2447.0,1.0,0.0,2013-01-06,42.0,1.0,1.0,1725.0,1.0,1.0,1.0,15.0,0.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,11.0,3.0,False,True,1730.0,0.0,28.0,Very Low,0,<20k,26-30
3,58607.0,0.0,1.0,2012-12-23,63.0,867.0,0.0,86.0,0.0,0.0,19.0,3.0,2.0,3.0,9.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,75.0,12.0,3.0,False,True,972.0,1.0,14.0,Medium,2,40k-60k,11-15
3,65324.0,0.0,1.0,2014-01-11,0.0,384.0,0.0,102.0,21.0,32.0,5.0,3.0,6.0,2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,10.0,3.0,False,True,544.0,0.0,17.0,High,1,60k-80k,16-20
1,40689.0,0.0,1.0,2013-03-18,69.0,270.0,3.0,27.0,39.0,6.0,99.0,7.0,7.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,11.0,3.0,False,True,444.0,0.0,13.0,Medium,2,40k-60k,11-15
1,18589.0,0.0,0.0,2013-01-02,89.0,6.0,4.0,25.0,15.0,12.0,13.0,2.0,2.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,11.0,1.0,True,False,75.0,0.0,6.0,Very Low,0,<20k,6-10
1,53359.0,1.0,1.0,2013-05-27,4.0,173.0,4.0,30.0,3.0,6.0,41.0,4.0,5.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,11.0,4.0,False,True,257.0,0.0,10.0,Medium,2,40k-60k,6-10
1,51381.5,1.0,0.0,2013-02-20,19.0,5.0,1.0,3.0,3.0,263.0,362.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,11.0,2.0,True,False,637.0,0.0,27.0,Medium,2,40k-60k,26-30
